kernel, objects-clutter, lbp, test, iou, router, nerf, glasses, vader, brush, pig, cardboard, stand, fuse, catan, precision, recall
rbf, all-all, 1, validate, 0.2300174842053613, 0.24109462359946432, 0.36523215346744764, 0.1306901626070668, 0.26042039028550024, 0.09414649700311854, 0.21294937842722553, 0.36335834903756803, 0.09788166637936646, 0.17272745647263713, 0.3865174348315945, 0.009, 0.027
rbf, all-all, 2, test, 0.11159378005658156, 0.07979634330222059, 0.4633479492789955, 0.0, 0.001991205591886611, 0.06364563996366406, 6.949800299962652e-06, 0.19013199092369312, 0.0, 0.0051951183554071285, 0.2348693339679966, 0.011, 0.033
rbf, all-all, 2, validate, 0.25239261434287247, 0.4175868921435721, 0.4114911159838673, 0.18009783026029896, 0.11490268743359161, 0.13753510648088957, 0.11998378418645941, 0.4262138720404989, 0.11767249144298324, 0.23206362455430046, 0.381620497077939, 0.013, 0.026
rbf, all-all, 3, test, 0.11151621382156994, 0.09919988923183083, 0.46573206603401895, 0.0, 0.001268427244550579, 0.07619416297399595, 0.00011920343095386322, 0.14317635399267012, 0.0, 0.005245900844692836, 0.20666055291787433, 0.010, 0.025
rbf, all-all, 3, validate, 0.2652426552065867, 0.4932488686049647, 0.49027902682985935, 0.13329667034379128, 0.14904209677667377, 0.1440482354956026, 0.28240551759403926, 0.34922718751977677, 0.03886791165724377, 0.23435660841045503, 0.49144438086564385, 0.026, 0.033
rbf, c615-c615, 4, test, 0.08443913584190527, 0.05314134101617371, 0.4349959097614118, 0.0, 0.0028853871690181277, 0.03704149921899983, 0.0009247805084312107, 0.04540403337729824, 0.0, 0.00407944990922562, 0.18208817240773448, 0.005, 0.016
rbf, c615-c615, 4, validate, 0.25230696599569236, 0.2208368714960483, 0.4433794425974636, 0.09672301960252429, 0.22378952650759856, 0.17111403062059444, 0.24261007683924002, 0.34639000877859183, 0.03954617934931035, 0.10438716523778936, 0.45050878445822, 0.009, 0.022
rbf, c615-mobi, 4, test, 0.10733497384249828, 0.025607355057530264, 0.23606505062160082, 0.0, 0.0060437084505926405, 0.027208332019597384, 0.0, 0.13081505790688622, 0.0, 0.008782968899916935, 0.2173206109651827, 0.002, 0.013
rbf, c615-mobi, 4, validate, 0.22300496686503887, 0.25898916777291686, 0.15648570339689208, 0.30077528575423007, 0.11593559619625109, 0.13853875591955145, 0.29242989287760723, 0.38698615114334317, 0.044184790237304275, 0.18993200753343756, 0.38461185573710316, 0.009, 0.025
rbf, mobi-c615, 4, test, 0.04026963961754742, 0.05625126006184097, 0.03020135144880286, 0.0, 0.0015587225138227058, 0.061224501669444084, 0.0010324720031846344, 0.025776103675805438, 0.0, 0.0047530897386579, 0.18936373382741267, 0.002, 0.004
rbf, mobi-c615, 4, validate, 0.23887160871107072, 0.2367105590128676, 0.41219735402847835, 0.2824879259177631, 0.04130279489380547, 0.10796893557711605, 0.2725999622978496, 0.46694755049858855, 0.022363775661591517, 0.2809273077400384, 0.28935142109485557, 0.026, 0.038
rbf, mobi-mobi, 4, test, 0.09639647850464274, 0.08452859504143598, 0.42441499358031076, 0.0, 0.006819439132741577, 0.07841456811895271, 0.0, 0.14838789871843908, 0.0, 0.006308933021851494, 0.13774395453483984, 0.003, 0.022
rbf, mobi-mobi, 4, validate, 0.2554989057197913, 0.2602219063712978, 0.3438816675150669, 0.2151554650499352, 0.29074445678016286, 0.10772373247555406, 0.35369954887816274, 0.2697475141371824, 0.03777421205922719, 0.16108834491858584, 0.47148865833678194, 0.006, 0.021
rbf, all-all, 4, test, 0.10493825936928869, 0.09450073697763986, 0.4253809051149901, 0.0, 0.0021985653878006015, 0.0594346417030987, 0.0, 0.11474511154023274, 0.0, 0.005331175452660268, 0.2782982949207348, 0.008, 0.038
rbf, all-all, 4, validate, 0.26789264622175973, 0.2988890923559373, 0.35357209722359895, 0.13744803485713272, 0.19410208148770575, 0.08759973706503703, 0.23691018634182323, 0.3763659492807098, 0.023156288262567517, 0.1536955151427086, 0.5567822217119407, 0.012, 0.027
sigmoid, all-all, 0, test, 0.10788131911809612, 0.0625761336161619, 0.5249413450987332, 0.0, 0.0021764928614026063, 0.03846844496701595, 0.001294282649442819, 0.12756196576389756, 0.0, 0.0038316042181638704, 0.1513992038168541, 0.019, 0.034
sigmoid, all-all, 0, validate, 0.27261398616145643, 0.32185527247907353, 0.26250610728893853, 0.1810847213304361, 0.12407376757087428, 0.08469388635769835, 0.22013422455128034, 0.4472038174554991, 0.048790120509631725, 0.1263170763418179, 0.44615381061920006, 0.013, 0.021
sigmoid, all-all, 4, test, 0.10012487630592136, 0.03948399373914249, 0.432648797426527, 0.0, 0.00610228844141688, 0.049024348919612167, 0.0007572020200701629, 0.13702419736798166, 0.0, 0.0010832275800327458, 0.20546979425812273, 0.008, 0.023
sigmoid, all-all, 4, validate, 0.25535825826617375, 0.182191012240174, 0.2709051956915225, 0.22549250390027772, 0.12360426453936828, 0.12090258366126809, 0.2741313667495688, 0.34040728407373955, 0.0, 0.08326329003273365, 0.5119685049967339, 0.013, 0.018
